,Question,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25,Component 26,Component 27,Component 28,Component 29,Component 30,Component 31,Component 32,Component 33,Component 34,Component 35,Component 36,Component 37,Component 38,Component 39,Component 40
0,"govt run for benefit of all people,",0.01551111562297348,-0.08846139595167854,0.0801576081453133,-0.08667769432967083,0.005779525697357753,-0.008313172753610093,0.031892787009207474,-0.09699977502113734,0.07038246896465312,-0.0745799407408206,-0.0018867488119452783,0.0051479920016385345,-0.0129058357529504,0.03313592991341979,-0.10575843717559195,0.008773488412824562,-0.02278157421393317,0.07984520375452815,-0.026270456604099945,0.07813760879683393,-0.09497440869625755,0.017407607107728325,-0.11091181077264935,0.028689562335826892,-0.0266733396999997,0.08748406490647871,-0.11285784194584021,0.15672420201946496,0.049536170108657775,-0.11589294887207471,-0.08805548686121376,0.21103530614412333,0.20781172521127,-0.037788089754509646,-0.220764320055895,0.04418349943792688,0.008265118743091125,0.041275404175384355,-0.03792953373405747,-0.08856017110379288
1,Explained Variance,0.13744222727771094,0.06821997293422166,0.03767153286035461,0.035294927230719315,0.022944534601326567,0.020591951667546557,0.018119558376780583,0.016166573578286183,0.015966946143622044,0.014855667327059459,0.013654795282256351,0.013418165041413202,0.012976929741912937,0.012384144718305817,0.011906763138331913,0.011684926372360493,0.011563222864635172,0.011065586827443817,0.010647962283083836,0.010476532648033577,0.010185249718866298,0.00995433572493539,0.009574251306865808,0.009194245870799306,0.008954789088039296,0.00886660849158671,0.008629553155168078,0.008503294342203063,0.008179281124695658,0.008103235498367481,0.008079245679650907,0.007868064340221232,0.007805904358305073,0.007711238811919162,0.007552358628563881,0.007422839269832485,0.007291509054964067,0.007201778853591877,0.007047966535757161,0.006898336257728567
2,"none in govt corrupt,",-0.012346074136077023,-0.20877770518394204,-0.016553354713822244,-0.12143557023277396,0.09537194010856877,-0.00597191793796302,0.03798090900942275,0.040928495958282796,0.033667354923526266,-0.20346275482152576,0.08286012499023611,0.09917353901788678,0.09622639887680247,-0.01391997523438043,-0.09977797825604665,-0.04878972964947106,0.04575686633346779,0.16204046339664402,-0.08218746633663052,0.04396961493538466,-0.20862729535303354,0.003629312264727045,-0.02433673771993622,0.06902767261145734,0.033640602635943595,0.07058923081230262,-0.14251317604956315,-0.10939648615895872,-0.02234239424108572,-0.09745431192940801,-0.026809079619833233,0.058239675412584055,-0.1408174898860458,-0.019039053094656776,-0.04743317185501647,0.28531908758931224,0.15554231409852234,0.08457723460286566,-0.17439808963732803,0.10080041666782223
3,"people never can be trusted,",0.0693049944488241,0.13298420372849684,0.01630314451943567,-0.05961054085348449,-0.039800573698682035,0.016751872659656376,0.01696151064504549,-0.0711673038328832,-0.04271599756272543,-0.04615579398902983,-0.02518431498241429,0.00038129997172031,-0.1317258983081953,-0.2805938329204195,0.08086999598538076,0.06478078280240733,-0.2134841257931671,0.04425225666662806,0.014034760310787327,0.14784887119360351,0.11568129267646189,0.02181972968116044,0.044323250787232066,0.20539957298360334,-0.03850459455612513,-0.07811755422911791,-0.29866852743249556,0.21337932135400878,-0.2166485297182254,-0.0018863756563236994,-0.1841327631210074,0.07972381009049992,0.07020605160205258,0.19924535631065166,0.14317789654147403,-0.15751219849291154,-0.15283376653151748,0.11646678755084289,0.11672520504291527,0.15839716659359837
4,"elections don't make govt pay attention,",0.017040482611959673,0.10132423395733237,0.07366793146183864,0.18665313361293356,-0.08837234793108062,-0.023792939537401664,-0.045180852784723606,-0.008543876455692514,-0.04220859998782178,-0.003981764103230277,0.0023709387331959275,-0.04522981985595625,-0.04980813130006029,-0.1296905220923653,0.17213400505296025,-0.0596468117504327,0.018075844943952642,-0.16933574197203866,0.25387553345420777,-0.014893544079394042,0.2212639840903466,0.19517257989008902,-0.4453623932727208,0.17657745674589717,0.2407102124258201,-0.04657427201513381,-0.04608899437077392,0.18849429219682287,-0.056407984719972444,0.18081689185202096,0.008211567868533734,0.05335106370685791,-0.03324944065478552,-0.21213113884945434,0.005922944741923869,0.17902125064513974,0.1216636788497884,0.035104980315273954,-0.051064485848213007,-0.07945171568253682
5,"govt provide many more services,",-0.07234087835904202,0.09753368917588107,0.00705283052985739,-0.12701300955623054,0.07454194295074343,-0.05292138077432598,-0.041497328958395696,0.06791717080483112,-0.05441648233704682,0.06189295749338375,-0.017262974384265557,-0.05538215730720718,-0.07213208502307146,-0.033376046647730126,0.03190883856417315,0.008197286566942314,-0.004164103025765503,0.08858826072368838,0.01570685636712104,-0.026253815149116767,-0.009061433200033366,-0.021883239432500454,-0.019401635563411807,-0.007838620633769921,0.01467020543074012,-0.02143345841832112,-0.040684667806494754,0.025409612727735842,-0.0036948412128012358,-0.024356794244446492,-0.058534401969641554,-0.02333033173834649,-0.08192918461474444,0.009870823128360944,-0.03299089139647403,-0.009580678170218132,-0.009057341407197512,0.0567206046565663,-0.11710866079077868,-0.051376011625558854
6,"more defense spending,",0.13633697052029223,-0.027482153883806114,-0.11011329207692622,-0.10730530525202542,0.01320008175118463,0.12078708978012442,0.030903701393661526,0.05595679960477892,-0.12375785263843202,-0.1396474899973565,-0.032285331819744675,0.19247101539661748,-0.01864610477671489,-0.09486113463477609,-0.06747890047343755,0.047071720312130035,-0.010648649457086174,0.07775681259142991,0.0319500216469203,-0.033395284313008436,0.026514878175787432,-0.05804707412606891,0.04724074835745115,0.03001206460249817,0.11945112614426223,-0.13699755819229859,-0.02060413079149498,-0.059856801951212124,-0.06260748227908736,-0.01949420504410805,0.003891674206170634,-0.016216292308920813,-0.06712335929517556,0.05131412101822778,-0.04690603182559864,-0.012192593574105588,-0.003482207020915305,0.06069212661625775,-0.010019237005682653,0.0007859196766651574
7,"private healthcare,",0.09091850072091612,-0.056134342447971004,-0.00917334070719178,0.01241755853231441,-0.06177665313398974,0.09374605696922925,0.0599091193032511,0.0032385175035434255,-0.008571348674196733,-0.11007861209157535,0.02545544574706146,0.1001311493863347,-0.0027240663801627626,-0.08444169248169481,-0.10316196122196988,0.044904619540529433,-0.06723345883546522,-0.08898675474810851,-0.04500027520365095,0.06371167123787633,0.04524420846361979,0.021693659555727208,0.013163376436220467,0.02329339606149386,-0.01657240619801817,-0.016279341721711235,0.06510270686987077,-0.10509084811083311,-0.04835594120162368,0.06494620217241527,-0.003827550469351071,0.02523213976958852,0.049381407259243545,-0.09979547593477792,-0.014484602481226391,0.008344611397505239,-0.07787951680560395,-0.09917724734613115,0.10305660086675347,0.012135485834913296
8,"govt shouldn't provide guaranteed jobs & ubi,",0.09312600387426137,-0.09768322126838068,-0.006570700585216471,0.11288037409136241,-0.04183128757100091,0.05720511184113122,0.014712963601351103,-0.04078585190121234,0.04510541201922735,-0.09231419691160139,0.0346354706377561,0.014933449901297385,-0.05494728777967112,-0.022891609551194417,-0.08169484675288019,0.04989185775754507,-0.09422217689075799,-0.06648991339905133,-0.08044878745733566,0.004829736878573743,-0.051205625151048734,0.07531228973705642,-0.013277885726077868,0.020579998669128706,-0.04381855927645531,-0.0033850400507407213,0.06712246180897866,-0.019818656149246314,-0.04929302263320054,0.13642134554072993,0.02289960749934951,0.03196178782297297,0.06051873556839474,-0.0952467609741436,0.04671177747021257,0.01898325768676104,-0.03451851477954232,-0.022476628255681932,0.07198308891944522,-0.003168874753448167
9,"govt shouldnt help black people,",0.1138352004592402,-0.09384362551083449,-0.044499145458922626,0.09439560424055823,0.005199962061208763,0.02002802466260234,-0.05416032851335767,0.03698841287753436,-0.03792157173156442,-0.027760455993509986,0.058984794770969226,-0.03386589374452793,-0.08928254575657554,-0.05325476886021279,0.0691153872882201,0.06287377086113588,-0.040988841968203876,0.029638341692771415,-0.10100396786869478,-0.041622179916022184,-0.1357677694878651,0.020335683651837414,-0.02674502462009118,0.01738040313137837,-0.05080643993883087,-0.022533925067734495,0.02256360554113089,-0.027551688935295443,0.02931331779745142,0.05980353658141342,-0.020565087392958453,0.001542998789057129,-0.008090998858761952,-0.06792912279164184,-0.010587789822999672,-0.007203157826118165,-0.030971570495348363,0.004496989473499076,0.048536796601806605,0.022679535303147137
