,Question,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0,"govt run for benefit of all people,",-0.034246816533699154,0.07821399457644544,-0.0693909935228585,0.08139711253306664,-0.04907801297151832,0.11956786501590572,-0.13751957223145947,0.03560061018237753,-0.06553345493022336,0.17501283394191183
1,Explained Variance,0.1380545173980316,0.07691676192799163,0.04527784779916293,0.034143067040811576,0.02955606937894855,0.026170068168543243,0.023811031942236917,0.021043949700418653,0.018608742641544086,0.017217629592502035
2,"none in govt corrupt,",-0.03243681433195911,-0.05807157213078559,-0.08592565259743626,0.1693865974717536,-0.10710520380440652,-0.03735722492147081,-0.17849777244836582,0.08275704350487156,0.12315082452413821,0.02442326457776839
3,"people never can be trusted,",0.0933647213492051,0.15170450222290466,-0.006890307109172128,-0.12421058236644728,0.006815321530752903,0.0035074821237575035,0.054341339233594216,-0.020195082059688313,-0.0904900532862264,0.3084361998352576
4,"elections don't make govt pay attention,",-0.011059680140816111,0.05713141475478872,-0.0035773832027717334,-0.19023592068173167,0.01255736900531304,-0.01722289643579661,0.09076836689756171,0.1501025506997717,-0.1268515946067633,0.055430526140691085
5,"govt provide many more services,",0.13052266250867336,0.07441432275492121,-0.03836866969599617,0.00809902726030548,0.030440621340212984,-0.017372114033107622,-0.027559064258823318,-0.05158567877547708,-0.017129981605543576,0.027347417882178426
6,"more defense spending,",-0.007568296332189868,0.043760333504245616,0.0923086668572411,0.0859431105995761,-0.006547611928760577,-0.009817197811729683,-0.011227174673208162,-0.10323069387766005,-0.015672048989377282,0.08346023393482813
7,"private healthcare,",-0.09084775266562468,-0.0034934906772942738,0.038023507252487626,-0.007602232844615586,-0.0452432464541172,0.04845707773748806,0.04444349254255353,-0.09118246076031604,0.01072046719030624,0.0904911895495268
8,"govt shouldn't provide guaranteed jobs & ubi,",-0.13679302645703886,-0.033140779542295384,0.04580963617709166,-0.005736044032890075,-0.09377227049585996,0.023496835208362987,0.05048697940335359,-0.024715836576863628,0.18667606298040856,-0.010345267797649493
9,"govt shouldnt help black people,",-0.16730843144930552,-0.05849110627596072,0.052733465401922225,0.008874010611269162,-0.0721904284360238,0.009033034425509845,0.032322986484014854,-0.06921453735626322,0.13272353014896826,-0.045620224750934274
10,"govt shouldn't protect environment,",-0.0883779738955502,0.032628053068291876,-0.0020944319072903252,-0.057858782875828574,-0.011627303416472445,-0.03779411969966105,-0.04065012832811282,-0.042813961055967825,0.07208636937784005,0.04574076580776096
11,"decrease social security spending,",-0.12599049862245645,-0.07642664705608974,-0.037074127554663446,-0.05794271428535624,-0.0021702430869391387,-0.03583959982634416,0.027224060216341633,0.16307449585358338,0.0530816639089389,0.034191442394629096
12,"decrease public school spending,",-0.13632453508048276,0.01270271781262519,-0.008062821000543884,-0.08549425060111646,0.00799291648235062,0.008809650271921932,-0.0034533432011817355,0.17033233866286496,-0.006370882175603471,0.01063376309395836
13,"decrease border security spending,",0.046576121535809305,-0.020868482215666624,-0.13823984492629968,-0.019093995079433983,0.010547307500248515,0.08755425288623508,0.2229958672954907,0.1059928708153653,-0.026250661932269798,-0.050173773159055496
14,"decrease crime prevention spending,",-0.029659469347024136,-0.036052484358476765,-0.1299208958945348,-0.12678586875922554,0.03203833007430895,0.034196732752536346,0.05577476247609592,0.2921828051771915,0.028510438182439146,0.0002575232064264965
15,"decrease welfare spending,",-0.13677772484466763,-0.10434612165989338,0.0669696317153288,-0.0919625238155825,0.012791608675449869,-0.10477512678025926,0.004945449525637552,0.005579598386422302,0.0876218271375282,-0.038440391313453975
16,"decrease highway spending,",-0.08078396646386965,0.020035356546115053,-0.025813855444646837,-0.1820978101725816,-0.020014157956807443,0.0014688526970838,-0.016430801183687574,0.22036587482592906,0.0752257597326601,-0.15788932897962896
17,"decrease poor aid spending,",-0.1818128195143241,-0.0716877815679648,0.040688043700466296,-0.07865134776508209,0.003154061938775183,-0.027432765905532626,-0.0018708395149504148,0.1251480274718667,0.10045586813735702,-0.08639835356805736
18,"decrease environment spending,",-0.11439125701452009,0.014607011796313695,0.006885384348034429,-0.07012949435242771,-0.00030070612434199436,-0.08540614645733706,-0.014872298631970936,0.12102925116965152,0.042992330769301854,-0.08659804999467478
19,"abortion always allowed,",0.05856546465561125,-0.06786897759579294,-0.07191045424715337,-0.09814677390910063,0.04341030850639943,0.024843175680906403,-0.06007815127382933,0.005511263697593993,-0.014386749322641557,-0.14102323232258718
20,"no death penalty,",0.0964071286329829,0.016735627815753662,-0.07222341565705104,-0.006974720058100485,-0.03935912216176062,-0.0687909855938576,0.03675515641188457,0.14448801080938234,-0.13618196091833007,0.06398471593846497
21,"us should not stay home,",0.011324365208323785,-0.11558027601012202,0.017848484823880607,0.11436235443717498,-0.0662111115253263,0.019541075905304094,0.06858163222056708,-0.022184708338028672,-0.005418973532839204,-0.05819062472675263
22,"us shouldnt use force internationally,",-0.0046995259691503454,-0.07927645840881452,-0.0654158820706494,-0.16762707878186262,0.019245191537965226,-0.22318838130920807,-0.052299755784352295,0.02685903144569939,-0.00656040717283074,0.1906563218119468
23,"vote in person,",-0.0867932139382145,0.019807319466176653,0.019751766967577442,-0.10178320529485577,-0.011679821600890665,-0.02491642484076006,0.039123897164983365,-0.04952924929533182,-0.019924717535431485,-0.02331402137499266
