,Question,Component 1,Component 2,Component 3,Component 4,Component 5
0,Govt. is run for the benefit of all people.,0.026467657055455885,-0.049617287117039506,0.20282361693477174,-0.07454607132071434,0.05145912775823117
1,Govt. doesn't waste much tax money.,-0.025669139275615094,-0.04602142906297729,0.22768619111637167,-0.07650323308893908,0.06617516460114937
2,None running govt are corrupt,-0.010881718745414992,-0.1690531311207925,0.14372358442497096,-0.17004455452778874,0.06067825689503126
3,People can never be trusted.,0.010722647916974276,0.1778229898798589,0.0598293966957453,0.004965915363893542,0.005508045669717021
4,"elections don't make govt pay attention,",0.004197601022833821,0.11196049329700208,-0.025472843412641555,0.18851031056559114,0.03614750780627088
5,"govt provide many more services,",-0.11462812325552388,0.10290518202580512,0.07550163629809514,-0.0927123082120706,0.043512671687019056
6,"more defense spending,",0.09861739932720368,-0.0033005484184447376,-0.024956528762899804,-0.16526543103584235,0.045356677428131875
7,"private healthcare,",0.12060237844635957,-0.059930278618554406,-0.0287501588191205,-0.002958855720049558,-0.018433612383057463
8,"govt shouldn't provide guaranteed jobs & ubi,",0.11739605116951092,-0.08918684580324426,-0.043341595403415,0.03570277548326217,0.02169538563751483
9,"govt shouldnt help black people,",0.13198248598200613,-0.031585320997938496,-0.03694861234764912,-0.013049363718223232,0.05049645591303514
10,"govt shouldn't protect environment,",0.12368028517935334,-0.028966733064888863,0.0002565033782854478,0.027495207879099554,-0.02887151103119967
11,"decrease social security spending,",0.03681290776691187,-0.10248261941009713,0.012522309080208188,0.17527633590941882,-0.022326746586421614
12,"decrease public school spending,",0.09460482020042585,-0.06660513608402084,0.028665496114363233,0.1333321908384702,-0.12299195055916601
13,"decrease border security spending,",-0.13785475958585344,0.002961695881484681,0.042686779728725616,0.14181081481997812,-0.05786587342613067
14,"decrease crime prevention spending,",-0.07992260119205218,-0.017851625320232208,0.05472469265598711,0.2118780388602209,-0.08828219644541016
15,"decrease welfare spending,",0.12324430181880812,-0.06412121161763915,-0.07839741390807728,0.04913223673880849,0.04860472631029474
