,Category,Group,Median Comp. 1,MAD Comp. 1,Median Comp. 2,MAD Comp. 2,Median Comp. 3,MAD Comp. 3,Median Comp. 4,MAD Comp. 4,Median Comp. 5,MAD Comp. 5
Religion: Agnostic,Religion,Agnostic,-0.06709858775138855,0.7555289268493652,-0.12343404442071915,0.6823292374610901,0.03038649447262287,0.7553406953811646,0.034529026597738266,0.7767953276634216,0.1787184178829193,0.9006121158599854
Religion: Atheist,Religion,Atheist,0.0860624834895134,0.6143229007720947,0.0039913346990942955,0.6656700372695923,-0.08393979072570801,0.720916748046875,-0.012993964366614819,0.6718743443489075,0.05594562366604805,0.8258920311927795
Religion: Buddhist,Religion,Buddhist,-0.2398948222398758,0.5185965895652771,-0.3259308934211731,0.7497965693473816,-0.23281535506248474,0.5604948401451111,-0.1446547508239746,0.6776732802391052,-0.4025419354438782,0.7803422808647156
Religion: Catholic,Religion,Catholic,-0.01765361614525318,0.6593432426452637,-0.04560060799121857,0.707126259803772,-0.09586212038993835,0.6282453536987305,0.04344874247908592,0.6441590189933777,0.02741624228656292,0.7848302125930786
Religion: Hindu,Religion,Hindu,0.1322951316833496,0.39692556858062744,-0.06929156184196472,0.7388134002685547,0.1404913365840912,0.4679187834262848,-0.10075796395540237,0.5063896775245667,-0.022879445925354958,0.608308732509613
Religion: Jewish,Religion,Jewish,-0.15821489691734314,0.47730693221092224,-0.19365482032299042,0.5895755887031555,-0.12612736225128174,0.5527196526527405,-0.08575693517923355,0.6227855086326599,-0.006882227957248688,0.5944220423698425
Religion: Mormon,Religion,Mormon,0.38026612997055054,0.8565123081207275,0.1442967653274536,0.8389456272125244,0.3688761591911316,0.8508757948875427,0.331644207239151,0.7494896650314331,0.3077448904514313,0.7643831968307495
Religion: Muslim,Religion,Muslim,0.02195003442466259,0.8432824015617371,0.4919464886188507,0.6772812604904175,-0.04236886650323868,1.031267523765564,0.2305726855993271,0.6333448886871338,0.33610984683036804,0.8921481370925903
Religion: None,Religion,None,-0.25802865624427795,0.5579538345336914,-0.06052527576684952,0.45747026801109314,-0.22386282682418823,0.43958228826522827,-0.16965249180793762,0.62835693359375,0.06261705607175827,0.6242832541465759
Religion: Nothing in particular,Religion,Nothing in particular,-0.005700626410543919,0.6518898010253906,-0.12413421273231506,0.6841920614242554,-0.08460301905870438,0.6547530293464661,0.025127267464995384,0.695093035697937,0.036456529051065445,0.8105452656745911
