,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
0,Something else,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",,Male,Hispanic,Donald Trump,Conservative,46,1.00573747444017
1,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Jo Jorgensen,Female,Asian/NHPI,3rd party,Moderate; middle of the road,37,1.16347312190926
2,Something else,Non-traditional believer,Married,High school credential,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Elizabeth Warren,Liberal,40,0.768681110109909
3,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Joe Biden,Male,Asian/NHPI,,Slightly liberal,41,0.521019534357875
4,Nothing in particular,Spiritual but not religious,Widowed,Graduate degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,AIAN,Donald Trump,Slightly conservative,72,0.965789166832749
5,Agnostic,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",Joe Biden,Female,White,,Moderate; middle of the road,71,0.23470782633613
6,Protestant,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Donald Trump,Female,White,,Moderate; middle of the road,37,0.440700134379997
7,Nothing in particular,None of the above,Married,High school credential,Heterosexual or straight,"$15,000-19,999",,Female,White,,,45,0.769430262817186
8,Nothing in particular,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,,,70,1.42151619894385
9,Nothing in particular,Spiritual but not religious,Separated,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$60,000-64,999",Joe Biden,Male,Hispanic,,,43,1.84221626331928
10,Protestant,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$45,000-49,999",Joe Biden,Female,Hispanic,,,37,1.54801077365037
11,Something else,Traditional,Married,High school credential,Heterosexual or straight,"$110,000-124,999",Joe Biden,Male,White,,Moderate; middle of the road,55,1.2514017508479
12,Orthodox,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,,Conservative,30,0.292632404266775
13,Hindu,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,Asian/NHPI,Joe Biden,Slightly liberal,38,0.515282283901104
14,Nothing in particular,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",,Female,Black,,Moderate; middle of the road,41,1.34300705621002
15,Catholic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",,Male,Hispanic,,Conservative,66,0.455995341796958
16,Catholic,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,Slightly liberal,54,1.2173171900148
17,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,Amy Klobuchar,Slightly liberal,55,0.741825200066939
18,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,,Joe Biden,Female,White,,Liberal,62,0.627431722421454
19,Catholic,Traditional,Widowed,High school credential,Heterosexual or straight,"$25,000-29,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,80,0.549806603681382
20,Catholic,Traditional,Never married,Graduate degree,Heterosexual or straight,"$65,000-69,999",,Male,Hispanic,,Conservative,31,1.10611156482799
21,Catholic,Mainline,Widowed,Less than high school credential,Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,Hispanic,,Moderate; middle of the road,80,2.13243923681911
22,Agnostic,Spiritual but not religious,Never married,Bachelor’s degree,Bisexual,"$175,000-249,999",Joe Biden,Male,White,Bernie Sanders,Liberal,24,6.61662904723262
23,Protestant,Charismatic/Pentecostal,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",,Male,White,Another Republican,Conservative,55,1.72784997916338
24,Catholic,None of the above,Married,Less than high school credential,Heterosexual or straight,"$30,000-34,999",,Female,Hispanic,,,59,5.80953914475628
25,Protestant,Secular,Married,Bachelor’s degree,Heterosexual or straight,"$25,000-29,999",Joe Biden,Male,White,Joe Biden,Liberal,73,0.609708082236748
26,Protestant,Charismatic/Pentecostal,Widowed,Less than high school credential,Heterosexual or straight,"$25,000-29,999",Donald Trump,Female,White,,,72,0.734375412466689
27,Catholic,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Male,White,,Slightly conservative,50,0.906416910914763
28,Catholic,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,Slightly conservative,66,0.645981762018704
29,Nothing in particular,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,Hispanic,Joe Biden,Moderate; middle of the road,41,1.47686147985125
