,Question,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0,"govt run for benefit of all people,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Explained Variance,,,,,,,,,,
2,"none in govt corrupt,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"people never can be trusted,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"elections don't make govt pay attention,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"govt provide many more services,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"more defense spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"private healthcare,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"govt shouldn't provide guaranteed jobs & ubi,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"govt shouldnt help black people,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"govt shouldn't protect environment,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"decrease social security spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"decrease public school spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"decrease border security spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"decrease crime prevention spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"decrease welfare spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"decrease highway spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"decrease poor aid spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"decrease environment spending,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"abortion always allowed,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"no death penalty,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"us should not stay home,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"us shouldnt use force internationally,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"vote in person,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"no voter id laws,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"ex felons should not vote,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"important that news can criticize politicians,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"checks and balances important,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"important elected officials face consequences for misconduct,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"important people agree on basic facts,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"bad if us president could bypass courts/congress,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"do not restrict journalist access to govt info,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"concerned govt want to undermine media,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"confident in news media,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,"pres shouldnt ask foreign countries to investigate rivals,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,"stick to principles and not compromise,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,"against trump impeachment house,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,"against trump impeachment senate,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,"covid response too slow,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,"no paid parental leave,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"business should provide services to same sex couples,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"against trans bathroom bills,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"oppose gay antidiscrimiation law,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"gay people shouldnt be allowed to adopt children,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"no gay marriage,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"allow undocumented immigrants to become citizens,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"don't end birthright citizenship,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"children of undocumented shouldn't be deported,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"oppose border wall,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"use force to prevent urban unrest,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,people too easily offended,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,most women don't interpret innocent remarks or acts as being sexist.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,women do not seek to gain power by controlling men,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,public officials care what i think,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
