,Question,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0,"govt run for benefit of all people,",0.03944671162196389,0.12366177758590635,-0.1935849770367764,-0.0027795461893269364,0.055018833094998915,-0.03876674637080221,0.02377830015262819,-0.005525258820629714,0.0628713063568175,-0.01864437184237557
1,Explained Variance,0.24395494156907177,0.05925749802499683,0.04955857271141891,0.034404642737511294,0.02794586072074928,0.02425398294617565,0.020940814473565092,0.019614544564096427,0.019258839604738467,0.01731076955130542
2,"none in govt corrupt,",0.03656413873324227,-0.08698106300181496,-0.2020534792144027,-0.11466281751726018,0.0063537515605384814,-0.010311023019715794,0.012851530684188556,0.09987708228856632,0.014586320937992524,0.05591026828920756
3,"people never can be trusted,",0.0177741536297691,0.18510109928770846,0.03484299270030172,0.13986223326550443,0.045868123754228524,-0.05662872030435388,0.001444841631242727,0.11392336128224592,-0.1674284998694318,0.017261926721757245
4,"elections don't make govt pay attention,",-0.0063621101525813,0.06620896307057345,0.1021958910022861,0.18822370687613962,0.027655062268318625,0.07803653963288658,0.06268766456449773,-0.04889716142370885,-0.060002664179340845,0.07347635791721255
5,"govt provide many more services,",-0.09600978797478477,0.11692900168920445,-0.03154794419317214,0.02148633281563781,0.017442553461665733,0.029179540898332385,0.037850794592966905,0.0537680132235276,0.027825015861839636,0.028948875686664956
6,"more defense spending,",0.12499089777219789,0.039201615687370975,-0.002575602475242522,-0.12413740433268787,0.06311837131483589,0.015842859925321473,-0.0742590463403121,0.0840786237415176,-0.03687809685309522,0.02801625017233542
7,"private healthcare,",0.10216591320345098,-0.02766795175091233,0.010277789421294575,-0.017148303243803897,0.02844259489341855,0.054233594384660765,-0.12282261389938381,-0.027757995372952076,-0.02773177604094082,0.0004861408200545758
8,"govt shouldn't provide guaranteed jobs & ubi,",0.11280489450988886,-0.06506785203732077,0.006552318820408991,0.015727220252197027,0.02478478157027586,0.0014264998101609638,-0.025140555496235006,-0.08639344870701893,-0.11672277452712027,-0.049072508678015825
9,"govt shouldnt help black people,",0.12701176158452657,-0.03796153965071787,0.036171595723189814,0.020939931313045723,0.019989099847480124,-0.014991793089850325,0.08548617115530821,0.029209327582097207,-0.0793940238644774,-0.02629076280885121
10,"govt shouldn't protect environment,",0.10811614234766796,-0.026274724019220614,0.015113885489152282,-0.01636516651900477,-0.03447307367961468,0.0683562463578011,-0.07184782506189474,0.035181241716392544,-0.012312370257845817,-0.01261801783523276
11,"decrease social security spending,",0.034755510869972056,-0.12966097856737385,-0.015334136009375292,0.017415018489206735,-0.1814898209167502,-0.01783853376645378,-0.16728108963248578,-0.15555191541058855,0.0699061723144357,-0.1582427435462344
12,"decrease public school spending,",0.07882632338728748,-0.053075914970292376,-0.00044529159979321363,0.03361134839746974,0.026633545806398345,-0.06992492014366386,-0.1305324672221583,-0.08981696599013375,0.034748161181023196,-0.002612378376391236
13,"decrease border security spending,",-0.14193777627956794,-0.025604909509505107,-0.021968030496566912,0.01824204329319916,-0.10100632165212531,0.051024939424470506,-0.11481606530830835,-0.037623674340850136,-0.033243362771570584,0.10999165060576985
14,"decrease crime prevention spending,",-0.11667989099294673,-0.018259433444384986,-0.019541443663020186,0.08695426867982914,-0.10333161134187598,0.10858238235250914,-0.007728603458268479,-0.24620857660844248,0.15533906234210837,-0.15407906438999036
15,"decrease welfare spending,",0.12557902918152375,-0.1597031581677466,0.03756487074675214,-0.054825922341278234,-0.05713498887024783,-0.07845782288009623,-0.10854694852737612,0.026909287940891792,-0.06441351990680716,-0.13828101463749143
16,"decrease highway spending,",0.024008025661876087,-0.053898985659882645,-0.005298125587291001,0.10260227727627635,-0.22234308503524125,-0.004136083091978281,-0.1987436315010741,-0.1898365315579748,-0.031301044172517056,-0.11026938258217883
17,"decrease poor aid spending,",0.11123938025070877,-0.13644570306663853,0.008043390724312711,0.001654868665158998,-0.0463018474875424,-0.05257440936016965,0.035278944349800515,-0.08469770019410663,-0.025294296102359146,-0.12628162195828185
18,"decrease environment spending,",0.10526412841601707,-0.07928087546144953,-0.02433711040432431,0.036568161414602986,-0.1375355125714194,-0.03426663436809088,-0.07455178992787605,-0.08571526686781993,0.05316287226147836,-0.11498918386075568
19,"abortion always allowed,",-0.09884549994727547,-0.06705104914947047,0.04572810744920281,0.061425496888747516,-0.06550357044938199,-0.035897249091274085,-0.018957786691411307,0.10327645298339125,-0.14056025261443356,-0.016460097871087046
20,"no death penalty,",-0.10718458733377771,-0.0028438784891443064,-0.06240177613758178,-0.006659911900856286,-0.033615056381629684,-0.02114695606576451,0.009561026374714975,-0.16998733045871814,0.037854353948841304,0.2751982306219175
21,"us should not stay home,",-0.043246684187307455,-0.18957498787050922,0.003950217812965571,-0.08164876472863611,0.06005438938226215,0.057356328632639404,-0.1131102093914828,-0.0151492681684781,-0.0004306692824337377,0.14519508306172388
22,"us shouldnt use force internationally,",-0.055803128623363715,-0.03763398214011367,0.07132638754149737,0.21853942789745412,0.039582103271259425,-0.14621717018610247,0.05697555071626023,-0.08824641480026105,-0.09502879780830405,-0.0034557547865701893
23,"vote in person,",0.10729157448992531,-0.09598884789609229,0.08274325981357411,0.085224382809566,-0.034412753873548946,-0.029286671376823458,-0.10491137387348014,0.11731885584370161,0.06882706498726092,-0.004742935366615408
