,Question,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0,Explained Variance,0.22353363852042932,0.05125023087576487,0.04007309297983095,0.02982678483145734,0.02071722451442498,0.018920706883757948,0.017672337610304026,0.015265430032692278,0.01381748033973081,0.01296069865992894
1,"govt doesn't waste much tax money,",-0.022876305145124953,0.05064631075833487,-0.223600305746798,0.06094949102651612,-0.028245169711484316,0.03421060002586811,0.02508791068278346,0.021501901290132554,-0.05369595190224888,0.1624621072292819
2,"none in govt corrupt,",-0.008214815619103977,0.168744038451549,-0.12730240950819166,0.1597187843577031,-0.04821016482941957,0.06167247263450944,0.023336551325083443,-0.010719229796369578,0.00937080264417501,0.1618542872612561
3,"people never can be trusted,",0.009689875435035147,-0.1809300545859744,-0.06686834554747592,-0.020720882896318057,0.01757273323790336,-0.03675793831434809,0.019884748669998155,0.022765205895199682,0.05406599561038336,-0.10882367348573757
4,"elections don't make govt pay attention,",0.0040961178566479624,-0.110531570043085,0.017810139954186677,-0.18544455764617326,-0.04056396727618073,-0.117055290532488,0.030585331110821574,-0.04197823249201859,0.12898924468694817,-0.18314252619070162
5,"govt provide many more services,",-0.10624626221553896,-0.12363737058214902,-0.08255688253591942,0.07886473636969338,-0.03454743544684806,0.02997717910956199,0.014105828535062863,-0.018964150182201704,-0.0727641697414263,-0.09110902462590836
6,"more defense spending,",0.09487385274516032,-0.006164591444318995,0.013533973221263429,0.17257264095679103,-0.021789047708292347,0.049182889488450565,-0.11748083221315148,0.05994173954650704,0.010435623296185775,-0.009532415001509087
7,"private healthcare,",0.11732841486034218,0.06939501108284189,0.03405394661712794,0.001456785400510363,0.03904606550884911,0.013675568451294029,-0.0930283777027622,0.04578256223237551,0.031480258547741155,0.06572796842981724
8,"govt shouldn't provide guaranteed jobs & ubi,",0.11449375362806566,0.0997110957157877,0.05095638686048246,-0.04182564272552618,-0.018335076341515155,-0.031222709545551064,-0.03212133759185502,0.032315623520935394,0.08943267579556818,0.01481909434973272
9,"govt shouldnt help black people,",0.12977239679694538,0.04540652464542596,0.0428160266427984,0.00854475840588485,-0.08934850842951744,-0.05507972713469661,0.024193180511891947,-0.013196613935342563,0.06382081203586809,-0.11078944819689573
10,"govt shouldn't protect environment,",0.12335989576945346,0.041719198376626965,0.002683882000559497,-0.028204690017172202,0.05351856824923962,0.05137075254993306,-0.03840701423685146,0.036226793721937614,0.02675394671047432,0.120028433382273
11,"decrease social security spending,",0.032800627301096556,0.1252846487828646,-0.00766201650641261,-0.17964525925526678,0.000882933058498292,-0.07556059917038094,0.020037623489200317,0.06349634927679891,0.19271430264493564,0.20082704702598878
12,"decrease public school spending,",0.09482941524688321,0.08583001881059023,-0.00835316745948916,-0.11770985372009725,0.08678316904544381,-0.04257955736838645,0.08302404878758826,-0.020490229777250873,0.16456037384281041,0.21885701704724692
13,"decrease border security spending,",-0.13309303143011014,0.004794569846568612,-0.04296406441232375,-0.1421143639190195,0.05597041463869171,-0.02447181414331418,0.04399687031378799,0.1380689440268499,0.0933730313843783,-0.03296802878820035
14,"decrease crime prevention spending,",-0.0762964212133912,0.04390177732094121,-0.04075169871025096,-0.20692333587107456,0.07968376375940217,-0.05278690664665069,0.10212723676893337,-0.01793446573074914,0.07449390068800658,0.15688121759731152
