,Category,Group,Component 1,Confidence Interval 1,Component 2,Confidence Interval 2,Component 3,Confidence Interval 3,Component 4,Confidence Interval 4,Component 5,Confidence Interval 5,Component 6,Confidence Interval 6,Component 7,Confidence Interval 7,Component 8,Confidence Interval 8,Component 9,Confidence Interval 9,Component 10,Confidence Interval 10
PRE: WHAT IS PRESENT RELIGION OF R: Agnostic,PRE: WHAT IS PRESENT RELIGION OF R,Agnostic,0.1924928559932469,0.023634727083676838,0.5909489160007196,0.02490850945889724,0.5880097488875343,0.02500504260021763,0.3756930614911427,0.02276207587559183,0.4645630261018303,0.02272781665356813,0.4283133138076805,0.022825874848307302,0.619589084597108,0.024862165867176846,0.4795914904848364,0.02454227902402689,0.4459815586836491,0.022739346309681437,0.5541825334068587,0.024250170840860574
PRE: WHAT IS PRESENT RELIGION OF R: Atheist,PRE: WHAT IS PRESENT RELIGION OF R,Atheist,0.1257140336207619,0.026621682189584446,0.5649197393628322,0.028289076011298986,0.5311173884399498,0.028543476402848284,0.3117432580329591,0.02621768717616997,0.5079951420740094,0.027218428167232425,0.4419491319173393,0.027071355583390085,0.6654673913547179,0.028045454558755758,0.4217225351629732,0.02718958400974428,0.3649738474826813,0.02806698213760994,0.5691341561000007,0.027963429482950674
PRE: WHAT IS PRESENT RELIGION OF R: Buddhist,PRE: WHAT IS PRESENT RELIGION OF R,Buddhist,0.1994944794059234,0.06447045729709693,0.4764974804779242,0.05679065907891832,0.5128567237079823,0.0591688179597402,0.4423445907936777,0.05631364406511472,0.4721364418920629,0.05923475090265637,0.4485085930131025,0.05490580156100362,0.6063755531057867,0.05074121718980332,0.4848684525015017,0.06014515620795643,0.3656546786906481,0.06205954911763943,0.4561655648379531,0.058474105559740364
PRE: WHAT IS PRESENT RELIGION OF R: Catholic,PRE: WHAT IS PRESENT RELIGION OF R,Catholic,0.4953093069488812,0.013029849270615018,0.5810762944549378,0.013171025710490947,0.5031355288018001,0.013853199034372411,0.5924677189294552,0.01386334865874341,0.4176452817607406,0.01326593356147698,0.4440959818122851,0.01374064524208021,0.4743722449351144,0.014129021674797225,0.5171295478727471,0.014098909865190901,0.5352357678918108,0.014297577622912,0.5044724041963696,0.014098284027228899
PRE: WHAT IS PRESENT RELIGION OF R: Hindu,PRE: WHAT IS PRESENT RELIGION OF R,Hindu,0.4777142354398461,0.052497741427285936,0.5333183441061323,0.07477709828217659,0.492246349663568,0.10022003676827243,0.6921027225546247,0.08191084882579838,0.3224407607290629,0.08162510427105046,0.3362730402464328,0.09338985457267505,0.6721684701757018,0.07118132516106462,0.5153596309118994,0.09766087614084841,0.5650911184495302,0.08659574596883181,0.5872028047080561,0.08886529821902074
PRE: WHAT IS PRESENT RELIGION OF R: Jewish,PRE: WHAT IS PRESENT RELIGION OF R,Jewish,0.2349166631227524,0.042087243152629905,0.7248457250960781,0.03541284054605082,0.4156237833952897,0.04034232273082955,0.5860167209486467,0.03851169259167253,0.476451464714421,0.03581155988422453,0.3938882031738594,0.03774943185593758,0.5849873730486302,0.035014431878032576,0.4778414566374965,0.037308427892566144,0.4320985547519227,0.04069075012576146,0.5637870565263332,0.039981484711269596
PRE: WHAT IS PRESENT RELIGION OF R: Mormon,PRE: WHAT IS PRESENT RELIGION OF R,Mormon,0.6539781832336826,0.04047324277817944,0.6231493308303293,0.04958763784045948,0.5060545017106303,0.05263638868916918,0.5537898209733485,0.0560330094489213,0.6105746089505174,0.05488943261343254,0.5740639532291022,0.05303058345484453,0.4209882965980023,0.05264378440785017,0.6048647054201497,0.06062527052078325,0.617604357931467,0.04685247893274242,0.4369097587960587,0.05417177298984666
PRE: WHAT IS PRESENT RELIGION OF R: Muslim,PRE: WHAT IS PRESENT RELIGION OF R,Muslim,0.3866894877352174,0.0599818088932432,0.3465178066708933,0.06549337661499026,0.3118145126787982,0.08222311987451465,0.3409051567314035,0.07415013272436426,0.4337187219365555,0.08896602131474297,0.6720441272361541,0.07742724186331054,0.6103575841694674,0.06747287326397579,0.563934021638446,0.07582922421325371,0.543868217992368,0.08342960669532369,0.4200257481384638,0.0884938372648227
PRE: WHAT IS PRESENT RELIGION OF R: None,PRE: WHAT IS PRESENT RELIGION OF R,None,0.4536803449629347,0.052981902427881956,0.515912649390698,0.05576545248867093,0.4517714007342901,0.06151410999296978,0.4654738145019806,0.06147564972817084,0.4373588839650625,0.05922436964082791,0.4033871126949454,0.051535014207054024,0.4059098830063129,0.05629897287579297,0.3727455790775785,0.05667686821457592,0.3973290119075525,0.06176401017966635,0.3410584052989298,0.05610640125167394
PRE: WHAT IS PRESENT RELIGION OF R: Nothing in particular,PRE: WHAT IS PRESENT RELIGION OF R,Nothing in particular,0.4133963591182344,0.013667521643579355,0.4671870337694908,0.014489594582106673,0.469020329891942,0.01551944439269882,0.412155646077324,0.013749047748958094,0.4406790602092494,0.014452680039526046,0.4114221029156164,0.014391818633005427,0.4813008747049666,0.014587904255297603,0.4621969003377295,0.014385512903300736,0.4556013002197744,0.014470542510226964,0.4923310908081603,0.014668238466922601
PRE: WHAT IS PRESENT RELIGION OF R: Orthodox,PRE: WHAT IS PRESENT RELIGION OF R,Orthodox,0.5399651651322912,0.03683750223599828,0.3804791592763939,0.0460598740557475,0.3615277610215304,0.04687324071715527,0.4441636464446321,0.042377119043551514,0.4552537851464557,0.04889512231516874,0.4104570742572433,0.0466045513074056,0.5214717721686797,0.041903667651204055,0.469937317015433,0.051477518820374886,0.3716393533543239,0.04782093943933099,0.4952794128848319,0.048113734810123786
PRE: WHAT IS PRESENT RELIGION OF R: Protestant,PRE: WHAT IS PRESENT RELIGION OF R,Protestant,0.6249441396729595,0.012854491067321767,0.6335452066147755,0.011627375940721553,0.5345718354698191,0.011251439359029815,0.558096561760177,0.011967467618859322,0.5754550531333711,0.012290788708265827,0.5684481384548928,0.011782681027727471,0.4780766780257706,0.012340148089524787,0.4517682233508629,0.0121714800730641,0.5176763961080738,0.012195699400962504,0.4922000543956635,0.012080378546016325
PRE: WHAT IS PRESENT RELIGION OF R: Something else,PRE: WHAT IS PRESENT RELIGION OF R,Something else,0.4739444436456256,0.01300728360224316,0.3975777143429356,0.014059287715397713,0.4537071826600874,0.014469176310090731,0.5576779878415391,0.01482101556797798,0.5444798154482615,0.014868755890801126,0.5222555333887177,0.015280797857692537,0.4182454792547678,0.0147466664514302,0.4587977476494972,0.014772029164639634,0.4420886747084963,0.014844942882436308,0.438779115981381,0.014681632333982914
PRE: RELIGIOUS IDENTIFICATION: Charismatic/Pentecostal,PRE: RELIGIOUS IDENTIFICATION,Charismatic/Pentecostal,0.5850589321996309,0.026389723765217348,0.4522376745002293,0.03234222380340533,0.3815458346418012,0.030060894604050713,0.5925639279174663,0.030533644732817448,0.7304817763677861,0.02858082084890777,0.7079775854344184,0.029189137236169543,0.4686984210752084,0.03129883956303432,0.5063581196194287,0.03269719655069926,0.5338519119044485,0.03248797089579962,0.4318637029179266,0.029629276769275528
