,Question,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0,"govt run for benefit of all people,",0.02416132509246559,0.055804741986663235,-0.1915817726294388,0.0674109255484875,-0.014466651894190398,0.06243779731411362,-0.004727505998400147,0.010374427664996275,-0.06030005799925331,0.1971023964215955
1,"govt doesn't waste much tax money,",-0.02290447615177571,0.05822970612417211,-0.2226824630701819,0.05802270485042657,-0.02872485254339879,0.0341444374237416,0.024807714423664844,0.02275358609745813,-0.053944526308727384,0.16213301758305315
2,"none in govt corrupt,",-0.007509901733129265,0.17088952415535305,-0.12327473647516851,0.1598073636440849,-0.04790026363352217,0.06165385799099679,0.023262612537923884,-0.00984637865446901,0.009134507926512714,0.16065507477339142
3,"people never can be trusted,",0.008492590238033185,-0.17539654690761364,-0.07204882360490539,-0.022539588968715746,0.017850775038808577,-0.036701038665651775,0.020360051905545382,0.020307383714046678,0.054458679675253543,-0.10600880897424975
4,"elections don't make govt pay attention,",0.0033182570950780373,-0.10742494224856514,0.016985575103391437,-0.18585268756358547,-0.04109276025562075,-0.11711956202229817,0.03035084279936738,-0.042741776216592656,0.12928711011336602,-0.1821725775786437
5,"govt provide many more services,",-0.10698432362186305,-0.11960405106038169,-0.08754456600216692,0.07687655676384059,-0.034474337458141935,0.029968052510558785,0.014151454503616566,-0.019735375875797503,-0.07261398625303757,-0.09091465298143947
6,"more defense spending,",0.09494998819907172,-0.008634881275347867,0.011094740887902466,0.17319141757087975,-0.020773210844318747,0.04929076833224587,-0.1170542615757189,0.059823452824892584,0.01034420749276839,-0.010650254799242143
7,"private healthcare,",0.11764000517813647,0.06759011382089904,0.036628650739083085,0.0028557367099099062,0.039501450185888035,0.01375919376196888,-0.09277718702901297,0.046130545737268866,0.03133719135617191,0.06510400662286711
8,"govt shouldn't provide guaranteed jobs & ubi,",0.1148990119639218,0.09789745361230241,0.055476735503539876,-0.03958071240457542,-0.017952144456647084,-0.03118867411806292,-0.03196493432451552,0.032296264054388006,0.0893972116972853,0.014842794562144102
9,"govt shouldnt help black people,",0.1300059505613629,0.04327631158333581,0.044436720787718015,0.009979247867546708,-0.08911325551215543,-0.05511334529895928,0.024134649225608307,-0.013613745108096709,0.06395927912220786,-0.11045870452789269
10,"govt shouldn't protect environment,",0.12356286360465764,0.04098869313882249,0.004170221758082499,-0.028147441948027405,0.05338829398810596,0.0513957624249647,-0.0383913735263528,0.03725288061345404,0.02650514338360538,0.11888311262932558
11,"decrease social security spending,",0.03286812068866557,0.12916959263680633,0.00095529593802162,-0.1770044837002596,0.0011618137996523004,-0.07552315517557501,0.020359449351791965,0.06291911852121046,0.1926782961469966,0.2033097185603765
12,"decrease public school spending,",0.0952499430972713,0.08568089082476807,-0.004541232260853613,-0.11807039872415091,0.08587925201571883,-0.042646880879532334,0.0826333078069931,-0.018859678014608472,0.16428024217513099,0.21835880064889027
